artist_name,image_url
Marshmello,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Marshmello.jpg?raw=true
Logic,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Logic.jpg?raw=true
benny blanco,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/benny%20blanco.jpg?raw=true
Alan Walker,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Alan%20Walker.jpg?raw=true
Charli xcx,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Charli%20xcx.jpg?raw=true
Au/Ra,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Au/Ra.jpg?raw=true
Noah Cyrus,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Noah%20Cyrus.jpg?raw=true
K-391,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/K-391.jpg?raw=true
Steve Aoki,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Steve%20Aoki.jpg?raw=true
Miley Cyrus,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Miley%20Cyrus.jpg?raw=true
Ina Wroldsen,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Ina%20Wroldsen.jpg?raw=true
Kygo,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Kygo.jpg?raw=true
Avicii,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Avicii.jpg?raw=true
League of Legends,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/League%20of%20Legends.jpg?raw=true
Post Malone,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Post%20Malone.jpg?raw=true
Jonas Blue,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Jonas%20Blue.jpg?raw=true
Sam Smith,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Sam%20Smith.jpg?raw=true
Seven Lions,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Seven%20Lions.jpg?raw=true
Juice WRLD,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Juice%20WRLD.jpg?raw=true
Maroon 5,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Maroon%205.jpg?raw=true
Gym Class Heroes,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Gym%20Class%20Heroes.jpg?raw=true
Migos,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Migos.jpg?raw=true
Far East Movement,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Far%20East%20Movement.jpg?raw=true
The Kid LAROI,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/The%20Kid%20LAROI.jpg?raw=true
2KBABY,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/2KBABY.jpg?raw=true
Selena Gomez,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Selena%20Gomez.jpg?raw=true
DJ Snake,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/DJ%20Snake.jpg?raw=true
Billie Eilish,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Billie%20Eilish.jpg?raw=true
Dua Lipa,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Dua%20Lipa.jpg?raw=true
Gryffin,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Gryffin.jpg?raw=true
Topic,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Topic.jpg?raw=true
So Dope,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/So%20Dope.jpg?raw=true
ILLENIUM,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/ILLENIUM.jpg?raw=true
Slushii,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Slushii.jpg?raw=true
Lost Kings,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Lost%20Kings.jpg?raw=true
VIZE,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/VIZE.jpg?raw=true
One Direction,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/One%20Direction.jpg?raw=true
Ariana Grande,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Ariana%20Grande.jpg?raw=true
Kina,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Kina.jpg?raw=true
Imagine Dragons,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Imagine%20Dragons.jpg?raw=true
JONY,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/JONY.jpg?raw=true
Nishan K,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Nishan%20K.jpg?raw=true
Lost Sky,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Lost%20Sky.jpg?raw=true
Xaia,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Xaia.jpg?raw=true
Jecin George,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Jecin%20George.jpg?raw=true
Pmc Beats,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Pmc%20Beats.jpg?raw=true
ZAYN,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/ZAYN.jpg?raw=true
A.R. Rahman,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/A.R.%20Rahman.jpg?raw=true
Leon James,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Leon%20James.jpg?raw=true
Pranav Das,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Pranav%20Das.jpg?raw=true
Sid Sriram,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Sid%20Sriram.jpg?raw=true
Ztish,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Ztish.jpg?raw=true
Anirudh Ravichander,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Anirudh%20Ravichander.jpg?raw=true
Diamond Eyes,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Diamond%20Eyes.jpg?raw=true
Gramathu Pasanga,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Gramathu%20Pasanga.jpg?raw=true
BANNERS,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/BANNERS.jpg?raw=true
XXXTENTACION,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/XXXTENTACION.jpg?raw=true
AURORA,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/AURORA.jpg?raw=true
Armaan Malik,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Armaan%20Malik.jpg?raw=true
"Anirudh Ravichander,Sid Sriram",https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Anirudh%20Ravichander%2CSid%20Sriram.jpg?raw=true
Vivek - Mervin,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Vivek%20-%20Mervin.jpg?raw=true
Shawn Mendes,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Shawn%20Mendes.jpg?raw=true
Bruno Mars,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Bruno%20Mars.jpg?raw=true
Becky G,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Becky%20G.jpg?raw=true
Linkin Park,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Linkin%20Park.jpg?raw=true
Sia,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Sia.jpg?raw=true
Dhilip Varman,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Dhilip%20Varman.jpg?raw=true
Siddhu Kumar,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Siddhu%20Kumar.jpg?raw=true
Mugen Rao,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Mugen%20Rao.jpg?raw=true
Maran,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Maran.jpg?raw=true
DJ Gotta,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/DJ%20Gotta.jpg?raw=true
Charly Black,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Charly%20Black.jpg?raw=true
Pham,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Pham.jpg?raw=true
SLANDER,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/SLANDER.jpg?raw=true
Ro Ransom,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Ro%20Ransom.jpg?raw=true
Ashley Price,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Ashley%20Price.jpg?raw=true
Stipsing,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Stipsing.jpg?raw=true
Grinspoon,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Grinspoon.jpg?raw=true
Lenka,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Lenka.jpg?raw=true
AronChupa,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/AronChupa.jpg?raw=true
